core	7pJdS456JH8	Biohybrid Robots: Healing Damaged Brains
core	VS1rwgKgDsU	Biohybrid robots made from human tissue are a reality
wide	M6ySJyjTITA	Implanting and deleting memories with brain stimulation
core	YiQA-na2sw4	Updates on Commercial Human Brain Biocomputers
wide	ZUkAu0aaGQo	Fungi weapaonize immune system to attack the brain
core	q8AgmVaxlVM	Commercial hybrid computer released: Runs on lab-grown brains
core	_Izsty815Mk	Euthanasia and enforced amnesia for conscious biocomputers
core	EYTELCM7cUI	Lab-grown brain biocomputers are reality
wide	Ro1alLhaFzI	Use of AI linked to cognitive decline
wide	GpBqa1doaY4	Plastic is accumulating in our brains: It doesn't look good
wide	ns-GjvCLHMo	Using pain-pleasure models to predict sentience in AI
wide	2wt-sJpO1eM	Algae causes neurological disease: Nitroplasts discovered, and a photosynthetic hamster
core	kt0x2APg0X0	Sentience in a jar: Embodying Lab-Grown Brains in GameWorld
core	nQcwY_t2iXs	Brain in a jar: Medical uses for our lab grown brains
core	YFB8OypY9yI	Growing brain organoids incubated in an egg with a chicken embryo
wide	PeZNEHZhzcU	Updates on the tiny human brains grown from stem cells
wide	Wl2W43v2cOs	Artifical Intelligence dreaming and hallucination may be similar to human thought
wide	mp9yNlF4pJ0	How companies use psychology and neurology to sell you stuff
wide	H-jYuIWOVTQ	Astronauts still stranded as ISS suffers potentially catastrophic leak
core	HXc_vxxsyzQ	Implanting human dish brains with chips in mice
wide	PXhqTtn60Ic	The dark side to cognitive empathy
wide	63983jd_SOs	Brain structure can predict future mental health: Insurance can use it against you
wide	QKmv8UbcusU	Hackers target medical devices: Do you really want a brain chip?
wide	HziQ3LwOO9w	The Rise of Brain Computer interface: Bankrupt company leaves hundreds blind
core	AUCGuKGQDuk	We now know how to make the lab-grown tiny brains conscious
wide	D22aiX9963c	Google claims it created the first true artifical intelligence Hawking warned could end humanity
core	sxmSAa_6wls	Lab grown brains given a body and immersed in a virtual world
core	yQyP0lF512Q	You can grow a disembodied human brain give it a robot body. But you have to euthanize it
core	psqmiNk5Kbc	The Military found out about brain organoids
core	uvcnXNnyPtc	How similar are lab grown brains to babies?
wide	dR8uWCt1CkU	Science News: Fungal robotsskin and a body to use
wide	WQ9SpNJ_nvw	Mice with partial human brains are smarter
core	a2T93glgsiE	Mice with humans brains with Downs Syndrome grafted in
core	AzktwspMYW4	Medical applications of human chimeras in research
core	5QZ21TjYSNo	#brainorganoids #organoids #biocomputers #wetwear
wide	PjhxFk_kq5M	Yes the tiny human brains we grow from stem cells are sentient
wide	zOq-Nqm_zxg	What happens if you keep a tiny brain grown from human stem cells alive for 10 months?
core	bb6b_bdTfOY	Human Brain organoids used for computation and sold
wide	H3k2NkFmw6w	Jellyfish have 24 eyes and can make mental maps without a brain
wide	CzJTpCgxvbs	Using parasites to deliver medication to the brain
core	Y9hyDV1vb-k	human brain robot updates
core	C_6L2tjQ02g	Chimeric mice with rat neurons can sniff out cookies
core	kYMYIYh8CgI	How do brain organoid computers learn?
wide	nmeAUa-eg9U	Plants are more intelligent than we thought
core	5JU96PiJfDk	Brain organoid news
core	9QXDdjp3OqA	Brain organoids in a spider robot drone
core	NiyjvT_AGfI	Brain organoids train on dopamine
core	vg2Y82rYnHM	Brain organoid computers released for public access
core	IHLTXhG4n8Q	Frozen human brain reanimated 18 months later
wide	zWni8RkP3W0	Welcome to cyborg insects
core	Axkn2s_oH3Y	brain organoids may now be a viable treatment for strokes
wide	XrEdjC3zj4g	Are plants intelligent? well yes
core	LwkBxKOsWuk	Using lab grown brains to replace a brain in a rat
wide	cVBZOp_yP6A	Florida man finds out he has brain tapeworms
wide	hBNES8ZNLOY	Each hemisphere of your brain may be an individual conciousness
wide	G6c_DQlO9hY	are plants sentient? and robots?
wide	kTAfHujKA2o	The world's most intelligent humanoid robot
core	6hMbkLgrCDo	Brain organoid news roundup
core	w0Hy3sqgA4g	Brain organoids have been integrated into robots!
wide	rMQnNoZcAjM	Is Neurolink a bad idea?
wide	9fMgmk4I6_I	The first known cold-blooded mammal is a goat from Spain
core	-qsauxdpHjQ	Brain Organoids integrated unsupervised with Ai
core	IGRs1I017EA	Weirder Applications for brain organoids
core	9RB51iD1iqY	Brain organoids in simple terms
wide	TKyyTUldkpo	Fungus that eats into your brain...
wide	rPIBUrQcUek	tiny human brains implanted into mouse brains and an eye transplant
core	E0iatIkr3_8	A little more about growing the human brain organoids into a decapitated mouse spine.
core	f2P0mFajsAg	Manmade horrors: Human brain Organoids news!
wide	y20ANZ7dWkk	What's intelligent? sentient? concious?
core	K-kxb3sImio	Why do brain organoids have eyes and do they work?
core	FdtKPU2FjF4	enjoy more brain organoid content: how to grow them for longer
core	F9tx7Xj-phc	Brain in a vat was more horrific than I initially thought
core	909Uqb_Qy5Y	successfully reanimatating a brain outside the skull of the diseased
core	sjdjDY6DIDQ	we may have proven the disembodied brains are sentient
core	nZ2eK2PFArQ	should a disembodied brain be responsible for running a super computer?
core	YmJ1tGZCmOQ	brain organoids
